MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Warning_Stim, Aversive_Stim, Active_Poke, Reward_Prob, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/11/2018 14:16:02,19,4.18,6,1,0,0,Left,NA,1,1,1,12
12/11/2018 14:37:52,19,4.17,6,1,0,0,Left,NA,2,6,2,2
12/11/2018 14:59:09,19,4.16,20,1,0,0,Left,NA,3,15,3,21
12/11/2018 15:09:52,19,4.16,2,1,0,0,Left,NA,4,16,4,11
12/11/2018 15:11:08,19,4.17,3,1,0,0,Left,NA,5,16,5,12
12/11/2018 15:13:34,19,4.17,20,1,0,0,Left,NA,6,17,6,2
12/11/2018 15:17:34,19,4.16,2,1,0,0,Left,NA,7,18,7,35
12/11/2018 15:38:15,19,4.16,3,1,0,0,Left,NA,8,18,8,50
12/11/2018 15:39:23,19,4.16,9,1,0,0,Left,NA,9,19,9,3
12/11/2018 15:51:57,19,4.16,4,1,0,0,Left,NA,10,22,10,40
12/11/2018 16:05:23,19,4.16,23,1,0,0,Left,NA,11,22,11,384
12/11/2018 16:10:53,19,4.16,4,1,0,0,Left,NA,12,22,12,76
12/11/2018 16:30:36,19,4.16,6,1,0,0,Left,NA,13,27,13,139
12/11/2018 16:48:55,19,4.15,3,1,0,0,Left,NA,14,33,14,5
12/11/2018 16:54:17,19,4.15,3,1,0,0,Left,NA,15,36,15,66
12/11/2018 17:13:43,19,4.14,2,1,0,0,Left,NA,16,41,16,2
12/11/2018 17:16:00,19,4.15,20,1,0,0,Left,NA,17,41,17,3
12/11/2018 17:19:10,19,4.15,3,1,0,0,Left,NA,18,41,18,2
12/11/2018 17:20:16,19,4.14,20,1,0,0,Left,NA,19,41,19,18
12/11/2018 17:21:46,19,4.14,2,1,0,0,Left,NA,20,41,20,4
12/11/2018 17:48:17,19,4.14,20,1,0,0,Left,NA,21,44,21,350
12/11/2018 18:22:00,19,4.14,3,1,0,0,Left,NA,22,53,22,3
12/11/2018 18:23:50,19,4.14,3,1,0,0,Left,NA,23,54,23,2
12/11/2018 18:24:38,19,4.14,6,1,0,0,Left,NA,24,54,24,12
12/11/2018 18:27:26,19,4.14,20,1,0,0,Left,NA,26,61,25,25
12/11/2018 18:29:48,19,4.14,20,1,0,0,Left,NA,27,61,26,12
12/11/2018 18:49:47,19,4.14,8,1,0,0,Left,NA,28,62,27,5
12/11/2018 19:04:27,19,4.14,9,1,0,0,Left,NA,29,63,28,7
12/11/2018 19:14:43,19,4.13,7,1,0,0,Left,NA,30,63,29,55
12/11/2018 19:21:22,19,4.13,9,1,0,0,Left,NA,31,63,30,2
12/11/2018 19:22:39,19,4.13,4,1,0,0,Left,NA,32,63,31,2
12/11/2018 19:23:44,19,4.12,2,1,0,0,Left,NA,33,63,32,3
12/11/2018 20:23:16,19,4.12,6,1,0,0,Left,NA,34,63,33,5
12/11/2018 21:09:42,19,4.12,3,1,0,0,Left,NA,35,64,34,3
12/11/2018 21:11:41,19,4.12,3,1,0,0,Left,NA,36,75,35,3
12/11/2018 21:13:06,19,4.12,5,1,0,0,Left,NA,38,75,36,2
12/11/2018 21:14:11,19,4.12,20,1,0,0,Left,NA,39,75,37,13
12/11/2018 21:15:23,19,4.12,23,1,0,0,Left,NA,40,75,38,3
12/11/2018 21:16:16,19,4.12,3,1,0,0,Left,NA,41,75,39,1
12/11/2018 21:21:06,19,4.12,9,1,0,0,Left,NA,42,75,40,27
12/11/2018 21:31:48,19,4.12,9,1,0,0,Left,NA,43,100,41,2
12/11/2018 21:32:46,19,4.12,8,1,0,0,Left,NA,44,100,42,6
12/11/2018 21:33:54,19,4.12,7,1,0,0,Left,NA,45,100,43,15
12/11/2018 21:59:55,19,4.11,7,1,0,0,Left,NA,46,100,44,2
12/11/2018 22:51:14,19,4.11,2,1,0,0,Left,NA,47,100,45,1
12/11/2018 22:51:47,19,4.11,3,1,0,0,Left,NA,48,100,46,1
12/11/2018 22:52:23,19,4.11,8,1,0,0,Left,NA,49,100,47,3
12/11/2018 22:53:17,19,4.11,8,1,0,0,Left,NA,50,100,48,9
12/11/2018 23:20:27,19,4.11,7,1,0,0,Left,NA,51,100,49,8
12/11/2018 23:21:34,19,4.11,3,1,0,0,Left,NA,52,100,50,2
12/11/2018 23:22:26,19,4.11,5,1,0,0,Left,NA,53,100,51,4
12/11/2018 23:23:32,19,4.10,4,1,0,0,Left,NA,54,100,52,2
12/12/2018 0:04:40,19,4.10,5,1,0,0,Left,NA,55,100,53,7
12/12/2018 0:06:34,19,4.10,6,1,0,0,Left,NA,56,100,54,2
12/12/2018 0:08:32,19,4.11,4,1,0,0,Left,NA,57,100,55,3
12/12/2018 0:09:11,19,4.11,4,1,0,0,Left,NA,58,100,56,4
12/12/2018 0:09:54,19,4.11,4,1,0,0,Left,NA,59,100,57,2
12/12/2018 0:42:12,19,4.10,20,1,0,0,Left,NA,60,100,58,2
12/12/2018 1:53:35,19,4.10,6,1,0,0,Left,NA,61,100,59,5
12/12/2018 1:54:13,19,4.09,6,1,0,0,Left,NA,62,100,60,2
12/12/2018 1:54:45,19,4.09,6,1,0,0,Left,NA,63,100,61,4
12/12/2018 2:20:40,19,4.09,4,1,0,0,Left,NA,64,100,62,366
12/12/2018 2:22:10,19,4.09,2,1,0,0,Left,NA,65,101,63,1
12/12/2018 2:23:29,19,4.09,4,1,0,0,Left,NA,66,103,64,1
12/12/2018 2:24:43,19,4.09,9,1,0,0,Left,NA,68,104,65,6
12/12/2018 2:26:02,19,4.09,25,1,0,0,Left,NA,69,104,66,10
12/12/2018 4:23:57,19,4.09,7,1,0,0,Left,NA,70,104,67,6
12/12/2018 4:24:46,19,4.09,8,1,0,0,Left,NA,71,104,68,5
12/12/2018 5:18:04,19,4.08,3,1,0,0,Left,NA,72,104,69,615
12/12/2018 5:20:46,19,4.08,2,1,0,0,Left,NA,73,104,70,3
12/12/2018 5:23:01,19,4.08,3,1,0,0,Left,NA,74,105,71,2
12/12/2018 5:23:24,19,4.08,5,1,0,0,Left,NA,75,105,72,1
12/12/2018 5:23:55,19,4.08,3,1,0,0,Left,NA,76,105,73,3
12/12/2018 5:25:06,19,4.08,7,1,0,0,Left,NA,77,105,74,30
12/12/2018 5:26:02,19,4.08,3,1,0,0,Left,NA,78,105,75,10
12/12/2018 5:46:38,19,4.08,4,1,0,0,Left,NA,79,105,76,8
12/12/2018 5:47:23,19,4.08,7,1,0,0,Left,NA,80,105,77,10
12/12/2018 6:16:34,19,4.08,6,1,0,0,Left,NA,81,105,78,22
12/12/2018 6:17:29,19,4.08,20,1,0,0,Left,NA,82,105,79,5
12/12/2018 6:38:51,19,4.08,5,1,0,0,Left,NA,83,105,80,216
12/12/2018 7:23:19,19,4.08,3,1,0,0,Left,NA,84,106,81,972
12/12/2018 7:36:31,19,4.07,2,1,0,0,Left,NA,85,106,82,4
12/12/2018 7:37:48,19,4.08,6,1,0,0,Left,NA,86,106,83,3
12/12/2018 7:46:54,19,4.07,6,1,0,0,Left,NA,87,106,84,19
12/12/2018 7:47:43,19,4.08,6,1,0,0,Left,NA,88,106,85,2
12/12/2018 7:48:39,19,4.07,2,1,0,0,Left,NA,89,106,86,3
12/12/2018 7:49:07,19,4.08,3,1,0,0,Left,NA,90,106,87,2
12/12/2018 8:38:13,19,4.07,7,1,0,0,Left,NA,91,106,88,2912
12/12/2018 8:38:48,19,4.07,3,1,0,0,Left,NA,92,106,89,7
12/12/2018 9:51:11,19,4.07,3,1,0,0,Left,NA,93,106,90,1
12/12/2018 9:58:49,19,4.07,6,1,0,0,Left,NA,94,107,91,2
12/12/2018 9:59:23,19,4.07,3,1,0,0,Left,NA,95,107,92,1
12/12/2018 10:01:17,19,4.07,3,1,0,0,Left,NA,96,107,93,2
12/12/2018 10:02:01,19,4.07,3,1,0,0,Left,NA,97,107,94,1
12/12/2018 10:12:24,19,4.07,3,1,0,0,Left,NA,98,107,95,2
12/12/2018 12:32:18,19,4.05,6,1,0,0,Left,NA,99,108,96,100
12/12/2018 12:33:37,19,4.05,20,1,0,0,Left,NA,100,112,97,5
12/12/2018 12:34:14,19,4.06,3,1,0,0,Left,NA,101,112,98,8
12/12/2018 14:11:21,19,4.04,2,1,0,0,Left,NA,102,112,99,2
12/12/2018 14:14:37,19,4.05,3,1,0,0,Left,NA,103,112,100,2
12/12/2018 14:15:14,19,4.05,2,1,0,0,Left,NA,104,112,101,2
12/12/2018 14:15:53,19,4.04,20,1,0,0,Left,NA,105,112,102,1
12/12/2018 14:16:36,19,4.05,6,1,0,0,Left,NA,106,112,103,1
12/12/2018 14:17:08,19,4.05,3,1,0,0,Left,NA,107,112,104,4
12/12/2018 14:17:33,19,4.05,3,1,0,0,Left,NA,108,112,105,3
12/12/2018 14:44:48,19,4.04,3,1,0,0,Left,NA,109,112,106,4
